database,source_row,source_id,title,authors,normalized_title,normalized_authors,year,doi,publication_title,document_type,url
wos,41,WOS:000519731400002,"Blech, imperative synchronous programming!","Gretz, F; Grosch, FJ",blech imperative synchronous programming,gretz f grosch fj,2018,,PROCEEDINGS OF THE 2018 FORUM ON SPECIFICATION & DESIGN LANGUAGES (FDL),Proceedings Paper,View Full Record in Web of Science
wos,43,WOS:000257508500015,An ALU cluster Intellectual Property for magnetic RAM media applications platform,"Liou, CY; Chiueh, H",an alu cluster intellectual property for magnetic ram media applications platform,liou cy chiueh h,2008,,"MTTD 2007 TAIPEI: PROCEEDINGS OF 2007 IEEE INTERNATIONAL WORKSHOP ON MEMORY TECHNOLOGY, DESIGN, AND TESTING (MTD '07)",Proceedings Paper,View Full Record in Web of Science
wos,44,WOS:000342995200003,Adaptivity in high-performance embedded systems: a reactive control model for reliable and flexible design,"Yu, HF; Gamatié, A; Rutten, É; Dekeyser, JL",adaptivity in high performance embedded systems a reactive control model for reliable and flexible design,yu hf gamatié a rutten é dekeyser jl,2014,10.1017/S0269888914000150,KNOWLEDGE ENGINEERING REVIEW,Review,View Full Record in Web of Science
wos,45,WOS:000345181100007,Constructive polychronous systems,"Talpin, JP; Brandt, J; Gemünde, M; Schneider, K; Shukla, S",constructive polychronous systems,talpin jp brandt j gemünde m schneider k shukla s,2014,10.1016/j.scico.2014.04.009,SCIENCE OF COMPUTER PROGRAMMING,Article,View Full Record in Web of Science
wos,47,WOS:000072948100008,Formal semantics for Ward and Mellor's transformation schemas and its application to fault tolerant systems,"Petersohn, C; Huizing, C; Peleska, J; de Roever, WP",formal semantics for ward and mellor s transformation schemas and its application to fault tolerant systems,petersohn c huizing c peleska j de roever wp,1998,,COMPUTER SYSTEMS SCIENCE AND ENGINEERING,Article,View Full Record in Web of Science
wos,48,WOS:000180715800014,Model-based programming of intelligent embedded systems and robotic space explorers,"Williams, BC; Ingham, MD; Chung, SH; Elliott, PH",model based programming of intelligent embedded systems and robotic space explorers,williams bc ingham md chung sh elliott ph,2003,10.1109/JPROC.2002.805828,PROCEEDINGS OF THE IEEE,Article,View Full Record in Web of Science
wos,50,WOS:000090089700061,A comparison of OO and Reactive based specifications on the Design of Embedded Systems,"Ito, SA; de Mattos, JCB; Carro, L; Toscani, SS",a comparison of oo and reactive based specifications on the design of embedded systems,ito sa de mattos jcb carro l toscani ss,2000,10.1109/SBCCI.2000.876060,"13TH SYMPOSIUM ON INTEGRATED CIRCUITS AND SYSTEMS DESIGN, PROCEEDINGS",Proceedings Paper,View Full Record in Web of Science
wos,53,WOS:000247600200044,Embedded microcontroller networks: Acoustic materials health monitoring - art. no. 65301F,"Rye, PM",embedded microcontroller networks acoustic materials health monitoring art no 65301f,rye pm,2007,10.1117/12.715213,"Sensor Systems and Networks: Phenomena, Technology, and Applications for NDE and Health Monitoring 2007",Proceedings Paper,View Full Record in Web of Science
wos,54,WOS:001833389300001,Polymer Composite-Enabled UAV Platform for Edge AI-Based Precision Agriculture: A System-Level Evaluation,"Khan, PI; Reddy, YN; Veeresh, P; Khan, A",polymer composite enabled uav platform for edge ai based precision agriculture a system level evaluation,khan pi reddy yn veeresh p khan a,2026,,JOURNAL OF POLYMER & COMPOSITES,Article,View Full Record in Web of Science
wos,55,WOS:000305317700001,Towards a Signal Calculus for Event-Based Synchronous Languages,"Zhao, YX; He, JF",towards a signal calculus for event based synchronous languages,zhao yx he jf,2011,,FORMAL METHODS AND SOFTWARE ENGINEERING,Proceedings Paper,View Full Record in Web of Science
wos,56,WOS:000228774100004,Encapsulation and behavioral inheritance in a synchronous model of computation for embedded system services adaptation,"Kerboeuf, ML; Talpin, JP",encapsulation and behavioral inheritance in a synchronous model of computation for embedded system services adaptation,kerboeuf ml talpin jp,2005,10.1016/j.jlap.2004.05.005,JOURNAL OF LOGIC AND ALGEBRAIC PROGRAMMING,Article,View Full Record in Web of Science
wos,64,WOS:000169941200086,A formal approach to component based development of synchronous programs,"Roop, PS; Sowmya, A; Ramesh, S",a formal approach to component based development of synchronous programs,roop ps sowmya a ramesh s,2001,,PROCEEDINGS OF THE ASP-DAC 2001: ASIA AND SOUTH PACIFIC DESIGN AUTOMATION CONFERENCE 2001,Proceedings Paper,View Full Record in Web of Science
wos,65,WOS:000243258900032,Polychronous methodology for system design: A true concurrency approach,"Suhaib, S; Mathaikutty, D; Shukla, S; Talpin, JP",polychronous methodology for system design a true concurrency approach,suhaib s mathaikutty d shukla s talpin jp,2006,,"HLDVT'06: ELEVENTH ANNUAL IEEE INTERNATIONAL HIGH-LEVEL DESIGN VALIDATION AND TEST WORKSHOP, PROCEEDINGS",Proceedings Paper,View Full Record in Web of Science
wos,69,WOS:000368588800004,Towards a verified compiler prototype for the synchronous language SIGNAL,"Yang, ZB; Bodeveix, JP; Filali, M; Hu, K; Zhao, YW; Ma, DF",towards a verified compiler prototype for the synchronous language signal,yang zb bodeveix jp filali m hu k zhao yw ma df,2016,10.1007/s11704-015-4364-y,FRONTIERS OF COMPUTER SCIENCE,Article,View Full Record in Web of Science
wos,70,WOS:000420378700003,MODEL-DRIVEN ENGINEERING AND FORMAL VALIDATION OF HIGH-PERFORMANCE EMBEDDED SYSTEMS,"Gamatié, A; Rutten, É; Yu, HF; Boulet, P; Dekeyser, JL",model driven engineering and formal validation of high performance embedded systems,gamatié a rutten é yu hf boulet p dekeyser jl,2009,,SCALABLE COMPUTING-PRACTICE AND EXPERIENCE,Article,View Full Record in Web of Science
wos,78,WOS:000301620100012,Non-standard semantics of hybrid systems modelers,"Benveniste, A; Bourke, T; Caillaud, B; Pouzet, M",non standard semantics of hybrid systems modelers,benveniste a bourke t caillaud b pouzet m,2012,10.1016/j.jcss.2011.08.009,JOURNAL OF COMPUTER AND SYSTEM SCIENCES,Article,View Full Record in Web of Science
wos,80,WOS:000338511000001,A Predictable Framework for Safety-Critical Embedded Systems,"Andalam, S; Roop, PS; Girault, A; Traulsen, C",a predictable framework for safety critical embedded systems,andalam s roop ps girault a traulsen c,2014,10.1109/TC.2013.28,IEEE TRANSACTIONS ON COMPUTERS,Article,View Full Record in Web of Science
wos,81,WOS:000435148800213,Parallel Code Generation of Synchronous Programs for a Many-core Architecture,"Graillat, A; Moy, M; Raymond, P; de Dinechin, BD",parallel code generation of synchronous programs for a many core architecture,graillat a moy m raymond p de dinechin bd,2018,,"PROCEEDINGS OF THE 2018 DESIGN, AUTOMATION & TEST IN EUROPE CONFERENCE & EXHIBITION (DATE)",Proceedings Paper,View Full Record in Web of Science
wos,82,WOS:000256880900007,Causality interfaces for actor networks,"Zhou, Y; Lee, EA",causality interfaces for actor networks,zhou y lee ea,2008,10.1145/1347375.1347382,ACM TRANSACTIONS ON EMBEDDED COMPUTING SYSTEMS,Article,View Full Record in Web of Science
wos,84,WOS:000295049104120,The Fundamentals of Hybrid Systems Modelers,"Benveniste, A; Caillaud, B; Pouzet, M",the fundamentals of hybrid systems modelers,benveniste a caillaud b pouzet m,2010,10.1109/CDC.2010.5717614,49TH IEEE CONFERENCE ON DECISION AND CONTROL (CDC),Proceedings Paper,View Full Record in Web of Science
wos,85,WOS:000173553400005,An Esterel compiler for large control-dominated systems,"Edwards, SA",an esterel compiler for large control dominated systems,edwards sa,2002,10.1109/43.980257,IEEE TRANSACTIONS ON COMPUTER-AIDED DESIGN OF INTEGRATED CIRCUITS AND SYSTEMS,Article,View Full Record in Web of Science
wos,88,WOS:000265171200003,A metamodel for the design of polychronous systems,"Brunette, C; Talpin, JP; Gamatié, A; Gautier, T",a metamodel for the design of polychronous systems,brunette c talpin jp gamatié a gautier t,2009,10.1016/j.jlap.2008.11.005,JOURNAL OF LOGIC AND ALGEBRAIC PROGRAMMING,Article; Proceedings Paper,View Full Record in Web of Science
wos,90,WOS:000241699300025,SmartC: A component-based hierarchical modeling language for automotive electronics,"Yang, GQ; Li, H; Wu, ZH",smartc a component based hierarchical modeling language for automotive electronics,yang gq li h wu zh,2006,,"DASC 2006: 2ND IEEE INTERNATIONAL SYMPOSIUM ON DEPENDABLE, AUTONOMIC AND SECURE COMPUTING, PROCEEDINGS",Proceedings Paper,View Full Record in Web of Science
wos,93,WOS:000333827300022,Precision Timed Embedded Systems Using TickPAD Memory,"Kuo, MMY; Roop, PS; Andalam, S; Patel, N",precision timed embedded systems using tickpad memory,kuo mmy roop ps andalam s patel n,2013,10.1109/ACSD.2013.20,2013 13TH INTERNATIONAL CONFERENCE ON APPLICATION OF CONCURRENCY TO SYSTEM DESIGN (ACSD 2013),Proceedings Paper,View Full Record in Web of Science
wos,94,WOS:000381029800305,Compilation of Synchronous Observers as Code Contracts,"Dieumegard, A; Garoche, PL; Kahsai, T; Taillar, A; Thirioux, X",compilation of synchronous observers as code contracts,dieumegard a garoche pl kahsai t taillar a thirioux x,2015,10.1145/2695664.2695819,"30TH ANNUAL ACM SYMPOSIUM ON APPLIED COMPUTING, VOLS I AND II",Proceedings Paper,View Full Record in Web of Science
wos,97,WOS:000246927403028,SmartC: A component-based hierarchical modeling language for automotive electronics,"Yang, GQ; Zhao, MD; Li, H; Wu, ZH",smartc a component based hierarchical modeling language for automotive electronics,yang gq zhao md li h wu zh,2006,,"2006 9TH INTERNATIONAL CONFERENCE ON CONTROL, AUTOMATION, ROBOTICS AND VISION, VOLS 1- 5",Proceedings Paper,View Full Record in Web of Science
wos,99,WOS:000418870400003,A Simulation Approach for SIGNAL Time Model Concern on Multi-clock System,"Wang, Z; Shen, GH; Huang, ZQ; Si, J; Pan, C",a simulation approach for signal time model concern on multi clock system,wang z shen gh huang zq si j pan c,2016,10.1007/978-981-10-3482-4_3,SOFTWARE ENGINEERING AND METHODOLOGY FOR EMERGING DOMAINS,Proceedings Paper,View Full Record in Web of Science
wos,100,WOS:000249772400018,On the polychronous approach to embedded software design - A POMSET interpretation of endochrony,"Shukla, SK; Suhaib, SM; Mathaikutty, DA; Talpin, JP",on the polychronous approach to embedded software design a pomset interpretation of endochrony,shukla sk suhaib sm mathaikutty da talpin jp,2007,10.1007/978-1-4020-6254-4_20,NEXT GENERATION DESIGN AND VERIFICATION METHODOLOGIES FOR DISTRIBUTED EMBEDDED CONTROL SYSTEMS,Proceedings Paper,View Full Record in Web of Science
wos,101,WOS:000462853400008,Relaxing the Synchronous Approach for Mixed-Criticality Systems,"Yip, E; Kuo, MMY; Roop, PS; Broman, D",relaxing the synchronous approach for mixed criticality systems,yip e kuo mmy roop ps broman d,2014,,2014 IEEE 20TH REAL-TIME AND EMBEDDED TECHNOLOGY AND APPLICATIONS SYMPOSIUM (RTAS),Proceedings Paper,View Full Record in Web of Science
wos,102,WOS:000982299100019,From Distributed Sensing to Virtual Sensors: a Domain-Specific Language for Reactive Centralized Edge-Fog-Cloud Computation,"Damiani, A; Rabozzi, M; Chen, KM; Di Tucci, L; Santambrogio, MD",from distributed sensing to virtual sensors a domain specific language for reactive centralized edge fog cloud computation,damiani a rabozzi m chen km di tucci l santambrogio md,2022,10.1109/EUC57774.2022.00028,"2022 IEEE 20TH INTERNATIONAL CONFERENCE ON EMBEDDED AND UBIQUITOUS COMPUTING, EUC",Proceedings Paper,View Full Record in Web of Science
wos,104,WOS:001781170500027,SmartWall: An Infrastructure for Sensory and Computation-capable Buildings using Sustainable and Low-cost Smart Materials,"Hossain, MI; Zisad, SN; Uddin, N; Hasan, R",smartwall an infrastructure for sensory and computation capable buildings using sustainable and low cost smart materials,hossain mi zisad sn uddin n hasan r,2025,10.1109/WF-PST65083.2025.00032,"2025 IEEE WORLD FORUM ON PUBLIC SAFETY TECHNOLOGY, WF-PST",Proceedings Paper,View Full Record in Web of Science
wos,108,WOS:000507566000005,Prototyping Method for Complex-Shaped Textile Composite Panels Developing a digitally controlled reconfigurable mold,"Ku, KH; Gurjar, S",prototyping method for complex shaped textile composite panels developing a digitally controlled reconfigurable mold,ku kh gurjar s,2018,,"COMPUTING FOR A BETTER TOMORROW, (ECAADE 2018), VOL 2",Proceedings Paper,View Full Record in Web of Science
wos,110,WOS:000364032300015,From Latency-Insensitive Design to Communication-Based System-Level Design,"Carloni, LP",from latency insensitive design to communication based system level design,carloni lp,2015,10.1109/JPROC.2015.2480849,PROCEEDINGS OF THE IEEE,Article,View Full Record in Web of Science
wos,114,WOS:000316304800121,Numerical evaluation of bond-slip relations for near-surface mounted carbon fiber bars embedded in concrete,"Sasmal, S; Khatri, CP; Ramanjaneyulu, K; Srinivas, V",numerical evaluation of bond slip relations for near surface mounted carbon fiber bars embedded in concrete,sasmal s khatri cp ramanjaneyulu k srinivas v,2013,10.1016/j.conbuildmat.2012.11.073,CONSTRUCTION AND BUILDING MATERIALS,Article,View Full Record in Web of Science
